id,race_id,state_abbrev,state,office_id,office_name,office_seat_name,cycle,stage,special,party,politician_id,candidate_id,candidate_name,ballot_party,ranked_choice_round,votes,percent,unopposed,winner,alt_result_text,source
31024,9260,NY,New York,381,U.S. House,District 7,2022,general,false,"",3029,29165,Nydia M. Velázquez,DEM,"",95645,64.49252885963966,,true,,https://www.elections.ny.gov/
31027,9260,NY,New York,381,U.S. House,District 7,2022,general,false,"",3029,29165,Nydia M. Velázquez,WFP,"",23828,16.06699751861042,,true,,https://www.elections.ny.gov/
31025,9260,NY,New York,381,U.S. House,District 7,2022,general,false,"",18166,29795,Juan Pagán,REP,"",26351,17.768232819074335,,false,,https://www.elections.ny.gov/
31026,9260,NY,New York,381,U.S. House,District 7,2022,general,false,"",18166,29795,Juan Pagán,CON,"",2246,1.5144567914553888,,false,,https://www.elections.ny.gov/
31029,9260,NY,New York,381,U.S. House,District 7,2022,general,false,"","",,"","","",0,0.0,,"",Void,https://www.elections.ny.gov/
31030,9260,NY,New York,381,U.S. House,District 7,2022,general,false,"","",,"","","",234,0.15778401122019636,,"",Scattering,https://www.elections.ny.gov/
31056,9265,NY,New York,386,U.S. House,District 12,2022,general,false,"",2930,29168,Jerrold L. Nadler,DEM,"",184872,75.11915645760956,,true,,https://www.elections.ny.gov/
31057,9265,NY,New York,386,U.S. House,District 12,2022,general,false,"",18168,29798,Michael Zumbluskas,REP,"",40994,16.657117896832652,,false,,https://www.elections.ny.gov/
31058,9265,NY,New York,386,U.S. House,District 12,2022,general,false,"",18168,29798,Michael Zumbluskas,CON,"",2715,1.1031876638020357,,false,,https://www.elections.ny.gov/
31059,9265,NY,New York,386,U.S. House,District 12,2022,general,false,"",2930,29168,Jerrold L. Nadler,WFP,"",16018,6.508604051116393,,true,,https://www.elections.ny.gov/
31060,9265,NY,New York,386,U.S. House,District 12,2022,general,false,"",18168,29798,Michael Zumbluskas,OTH,"",464,0.18853741289287093,,false,,https://www.elections.ny.gov/
31061,9265,NY,New York,386,U.S. House,District 12,2022,general,false,"",18734,30562,Mikhail Itkis,IND,"",631,0.2563946283090551,,false,,https://www.elections.ny.gov/
31062,9265,NY,New York,386,U.S. House,District 12,2022,general,false,"","",,"","","",4973,2.020682229129843,,"",Blank,https://www.elections.ny.gov/
31063,9265,NY,New York,386,U.S. House,District 12,2022,general,false,"","",,"","","",0,0.0,,"",Void,https://www.elections.ny.gov/
31064,9265,NY,New York,386,U.S. House,District 12,2022,general,false,"","",,"","","",411,0.16700188943743524,,"",Scattering,https://www.elections.ny.gov/
31069,9267,NY,New York,388,U.S. House,District 14,2022,general,false,"",8936,29172,Alexandria Ocasio-Cortez,DEM,"",74050,63.40440106173474,,true,,https://www.elections.ny.gov/
31070,9267,NY,New York,388,U.S. House,District 14,2022,general,false,"",18170,29800,Tina Forte,REP,"",31935,27.343950680708968,,false,,https://www.elections.ny.gov/
31071,9267,NY,New York,388,U.S. House,District 14,2022,general,false,"",18736,30564,Desi Joseph Cuellar,CON,"",2208,1.8905728230156693,,false,,https://www.elections.ny.gov/
31072,9267,NY,New York,388,U.S. House,District 14,2022,general,false,"",8936,29172,Alexandria Ocasio-Cortez,WFP,"",8403,7.19496532237349,,true,,https://www.elections.ny.gov/
31073,9267,NY,New York,388,U.S. House,District 14,2022,general,false,"","",,"","","",5792,4.959328709649799,,"",Blank,https://www.elections.ny.gov/
31074,9267,NY,New York,388,U.S. House,District 14,2022,general,false,"","",,"","","",0,0.0,,"",Void,https://www.elections.ny.gov/
31075,9267,NY,New York,388,U.S. House,District 14,2022,general,false,"","",,"","","",194,0.1661101121671376,,"",Scattering,https://www.elections.ny.gov/
31109,9273,NY,New York,394,U.S. House,District 20,2022,general,false,"",3024,29177,Paul D. Tonko,DEM,"",145928,50.07257242659547,,true,,https://www.elections.ny.gov/
31110,9273,NY,New York,394,U.S. House,District 20,2022,general,false,"",10594,29803,Elizabeth L. Joy,REP,"",110903,38.054372703159906,,false,,https://www.elections.ny.gov/
31111,9273,NY,New York,394,U.S. House,District 20,2022,general,false,"",10594,29803,Elizabeth L. Joy,CON,"",19966,6.850974323429399,,false,,https://www.elections.ny.gov/
31112,9273,NY,New York,394,U.S. House,District 20,2022,general,false,"",3024,29177,Paul D. Tonko,WFP,"",14492,4.972669532962979,,true,,https://www.elections.ny.gov/
31113,9273,NY,New York,394,U.S. House,District 20,2022,general,false,"","",,"","","",4184,1.4356644580400983,,"",Blank,https://www.elections.ny.gov/
31114,9273,NY,New York,394,U.S. House,District 20,2022,general,false,"","",,"","","",105,0.03602886426725869,,"",Void,https://www.elections.ny.gov/
31115,9273,NY,New York,394,U.S. House,District 20,2022,general,false,"","",,"","","",144,0.049411013852240476,,"",Scattering,https://www.elections.ny.gov/
31116,9274,NY,New York,395,U.S. House,District 21,2022,general,false,"",18561,30308,Matt Castelli,DEM,"",112645,39.51139093986215,,false,,https://www.elections.ny.gov/
31117,9274,NY,New York,395,U.S. House,District 21,2022,general,false,"",3579,29178,Elise M. Stefanik,REP,"",150595,52.82274329609429,,true,,https://www.elections.ny.gov/
31123,9274,NY,New York,395,U.S. House,District 21,2022,general,false,"","",,"","","",95,0.03332222592469177,,"",Scattering,https://www.elections.ny.gov/
31124,9275,NY,New York,396,U.S. House,District 22,2022,general,false,"",18175,29807,Francis Conole,DEM,"",132913,49.48214498451275,,false,,https://www.elections.ny.gov/
31125,9275,NY,New York,396,U.S. House,District 22,2022,general,false,"",18563,30310,Brandon M. Williams,REP,"",116529,43.38255003573981,,true,,https://www.elections.ny.gov/
31126,9275,NY,New York,396,U.S. House,District 22,2022,general,false,"",18563,30310,Brandon M. Williams,CON,"",19015,7.079089230402669,,true,,https://www.elections.ny.gov/
31127,9275,NY,New York,396,U.S. House,District 22,2022,general,false,"","",,"","","",5315,1.9787199189897549,,"",Blank,https://www.elections.ny.gov/
31128,9275,NY,New York,396,U.S. House,District 22,2022,general,false,"","",,"","","",58,0.02159280438408387,,"",Void,https://www.elections.ny.gov/
31129,9275,NY,New York,396,U.S. House,District 22,2022,general,false,"","",,"","","",151,0.056215749344770076,,"",Scattering,https://www.elections.ny.gov/
31136,9277,NY,New York,398,U.S. House,District 24,2022,general,false,"",18177,29809,Steven Holden,DEM,"",95028,34.27483201263828,,false,,https://www.elections.ny.gov/
31137,9277,NY,New York,398,U.S. House,District 24,2022,general,false,"",3582,29179,Claudia Tenney,REP,"",156347,56.39145473628779,,true,,https://www.elections.ny.gov/
31138,9277,NY,New York,398,U.S. House,District 24,2022,general,false,"",3582,29179,Claudia Tenney,CON,"",25707,9.272036731793705,,true,,https://www.elections.ny.gov/
31139,9277,NY,New York,398,U.S. House,District 24,2022,general,false,"","",,"","","",8215,2.9629976952458583,,"",Blank,https://www.elections.ny.gov/
31140,9277,NY,New York,398,U.S. House,District 24,2022,general,false,"","",,"","","",57,0.020558839760074735,,"",Void,https://www.elections.ny.gov/
31141,9277,NY,New York,398,U.S. House,District 24,2022,general,false,"","",,"","","",171,0.0616765192802242,,"",Scattering,https://www.elections.ny.gov/
31142,9278,NY,New York,399,U.S. House,District 25,2022,general,false,"",8943,29180,Joseph D. Morelle,DEM,"",139875,49.54063128665741,,true,,https://www.elections.ny.gov/
31143,9278,NY,New York,399,U.S. House,District 25,2022,general,false,"",18178,29810,La'Ron D. Singletary,REP,"",108010,38.25475306718046,,false,,https://www.elections.ny.gov/
31144,9278,NY,New York,399,U.S. House,District 25,2022,general,false,"",18178,29810,La'Ron D. Singletary,CON,"",22180,7.855665429405264,,false,,https://www.elections.ny.gov/
31145,9278,NY,New York,399,U.S. House,District 25,2022,general,false,"",8943,29180,Joseph D. Morelle,WFP,"",12147,4.302198736293316,,true,,https://www.elections.ny.gov/
31146,9278,NY,New York,399,U.S. House,District 25,2022,general,false,"","",,"","","",2577,0.912716402686085,,"",Blank,https://www.elections.ny.gov/
31147,9278,NY,New York,399,U.S. House,District 25,2022,general,false,"","",,"","","",69,0.024438273878672825,,"",Void,https://www.elections.ny.gov/
31148,9278,NY,New York,399,U.S. House,District 25,2022,general,false,"","",,"","","",132,0.04675148046354801,,"",Scattering,https://www.elections.ny.gov/
31162,9351,TN,Tennessee,486,U.S. House,District 3,2022,general,false,"",2806,29232,Chuck Fleischmann,REP,"",136639,68.37762097783116,,true,,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20221108TotalResults.pdf
31163,9351,TN,Tennessee,486,U.S. House,District 3,2022,general,false,"",10887,29949,Meg Gorman,DEM,"",60334,30.19266376419957,,false,,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20221108TotalResults.pdf
31164,9351,TN,Tennessee,486,U.S. House,District 3,2022,general,false,"",6373,30088,Rick Tyler,IND,"",1736,0.868738427663514,,false,,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20221108TotalResults.pdf
31165,9351,TN,Tennessee,486,U.S. House,District 3,2022,general,false,"",18390,30087,Thomas M. Rumba,IND,"",1121,0.56097683030576,,false,,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20221108TotalResults.pdf
31166,9352,TN,Tennessee,487,U.S. House,District 4,2022,general,false,"",13130,30687,Wayne Steele,DEM,"",44648,25.743065205233023,,false,,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20221108TotalResults.pdf
31167,9352,TN,Tennessee,487,U.S. House,District 4,2022,general,false,"",15230,29952,Tharon Chandler,IND,"",585,0.3372982696887054,,false,,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20221108TotalResults.pdf
